Column1	Column2	Column3	Column4
Роль сотрудника	ФИО	Логин	Пароль
Администратор	Басова Амина Кирилловна	klh7pi4rcbtz@gmail.com	2L6KZG
Администратор	Михайлов Андрей Денисович	gn0354mbiork@outlook.com	uzWC67
Администратор	Сидоров Егор Александрович	1o4l05k8dwpv@yahoo.com	8ntwUp
Менеджер	Аксенова Ульяна Ивановна	hsqixl2vebuz@mail.com	YOyhfR
Менеджер	Васильева Камила Ивановна	towkse0hf26b@outlook.com	RSbvHv
Менеджер	Ильин Артём Родионович	khx0ncdwz4uj@gmail.com	rwVDh9
Клиент	Васильева Василиса Фёдоровна	01zji3wfuq7h@outlook.com	LdNyos
Клиент	Кудрявцева Василиса Матвеевна	am65k18q7bwp@mail.com	gynQMT
Клиент	Кириллова Николь Святославовна	wt9q8i6ypx47@outlook.com	AtnDjr
Клиент	Андреева Полина Артёмовна	4o72gufv3xlz@tutanota.com	JlFRCZ
